Confirmed cases(confCase),confirmation rate(confCaseRate),Date and time of registration(createDt),fatality rate(criticalRate),dead(death),deathRate(deathRate),"Categorization,gender,age(gubun)","post-number Unique value by gender, age, and Confirmed cases(seq)",Modified Date and Time Minute(updateDt)
153,1.36,5/27/2020 10:17,0,0,0,'0-9,1036,null
640,5.68,5/27/2020 10:17,0,0,0,'10-19,1035,null
3131,27.79,5/27/2020 10:17,0,0,0,'20-29,1034,null
1248,11.08,5/27/2020 10:17,0.16,2,0.74,'30-39,1033,null
1489,13.22,5/27/2020 10:17,0.2,3,1.12,'40-49,1032,null
2002,17.77,5/27/2020 10:17,0.75,15,5.58,'50-59,1031,null
1386,12.3,5/27/2020 10:17,2.81,39,14.5,'60-69,1030,null
724,6.43,5/27/2020 10:17,10.91,79,29.37,'70-79,1029,null
492,4.37,5/27/2020 10:17,26.63,131,48.7,over 80,1028,null
150,1.34,5/26/2020 10:14,0,0,0,'0-9,1014,null
638,5.68,5/26/2020 10:14,0,0,0,'10-19,1013,null
3123,27.82,5/26/2020 10:14,0,0,0,'20-29,1012,null
1242,11.06,5/26/2020 10:14,0.16,2,0.74,'30-39,1011,null
1486,13.24,5/26/2020 10:14,0.2,3,1.12,'40-49,1010,null
1996,17.78,5/26/2020 10:14,0.75,15,5.58,'50-59,1009,null
1378,12.28,5/26/2020 10:14,2.83,39,14.5,'60-69,1008,null
721,6.42,5/26/2020 10:14,10.96,79,29.37,'70-79,1007,null
491,4.37,5/26/2020 10:14,26.68,131,48.7,over 80,1006,null
149,1.33,5/25/2020 10:28,0,0,0,'0-9,992,null
637,5.68,5/25/2020 10:28,0,0,0,'10-19,991,null
3120,27.84,5/25/2020 10:28,0,0,0,'20-29,990,null
1238,11.05,5/25/2020 10:28,0.16,2,0.75,'30-39,989,null
1483,13.23,5/25/2020 10:28,0.2,3,1.12,'40-49,988,null
1992,17.78,5/25/2020 10:28,0.75,15,5.62,'50-59,987,null
1377,12.29,5/25/2020 10:28,2.83,39,14.61,'60-69,986,null
719,6.42,5/25/2020 10:28,10.99,79,29.59,'70-79,985,null
491,4.38,5/25/2020 10:28,26.27,129,48.31,over 80,984,null
149,1.33,5/24/2020 10:27,0,0,0,'0-9,970,null
636,5.68,5/24/2020 10:27,0,0,0,'10-19,969,null
3117,27.86,5/24/2020 10:27,0,0,0,'20-29,968,null
1235,11.04,5/24/2020 10:27,0.16,2,0.75,'30-39,967,null
1481,13.24,5/24/2020 10:27,0.2,3,1.13,'40-49,966,null
1987,17.76,5/24/2020 10:27,0.75,15,5.64,'50-59,965,null
1375,12.29,5/24/2020 10:27,2.84,39,14.66,'60-69,964,null
719,6.43,5/24/2020 10:27,10.85,78,29.32,'70-79,963,null
491,4.39,5/24/2020 10:27,26.27,129,48.5,over 80,962,null
149,1.33,5/23/2020 10:35,0,0,0,'0-9,948,null
634,5.68,5/23/2020 10:35,0,0,0,'10-19,947,null
3113,27.88,5/23/2020 10:35,0,0,0,'20-29,946,null
1231,11.03,5/23/2020 10:35,0.16,2,0.75,'30-39,945,null
1474,13.2,5/23/2020 10:35,0.2,3,1.13,'40-49,944,null
1983,17.76,5/23/2020 10:35,0.76,15,5.64,'50-59,943,null
1372,12.29,5/23/2020 10:35,2.84,39,14.66,'60-69,942,null
718,6.43,5/23/2020 10:35,10.86,78,29.32,'70-79,941,null
491,4.4,5/23/2020 10:35,26.27,129,48.5,over 80,940,null
148,1.33,5/21/2020 10:25,0,0,0,'0-9,915,null
631,5.67,5/21/2020 10:25,0,0,0,'10-19,914,null
3103,27.9,5/21/2020 10:25,0,0,0,'20-29,913,null
1221,10.98,5/21/2020 10:25,0.16,2,0.76,'30-39,912,null
1471,13.23,5/21/2020 10:25,0.2,3,1.14,'40-49,911,null
1972,17.73,5/21/2020 10:25,0.76,15,5.68,'50-59,910,null
1369,12.31,5/21/2020 10:25,2.78,38,14.39,'60-69,909,null
717,6.45,5/21/2020 10:25,10.88,78,29.55,'70-79,908,null
490,4.41,5/21/2020 10:25,26.12,128,48.48,over 80,907,null
148,1.33,5/20/2020 10:14,0,0,0,'0-9,893,null
627,5.64,5/20/2020 10:14,0,0,0,'10-19,892,null
